TIME,30.0463,30.3998,30.7617,31.1323,31.512,31.901,32.2998,32.7087,33.128,33.5582,33.9998,34.4531,34.9187,35.397,35.8887,36.3941,36.9141,37.449,37.9998,38.5669,39.1513,39.7536,40.3748,41.0156,41.6772,42.3604,43.0664,43.7963,44.5515,45.3331,46.1426,46.9815,47.8516,48.7544,49.692,50.6664,51.6797,52.7344,53.833,54.9784,56.1736,57.4219,58.7269,60.0927,61.5234,63.024,64.5996,66.256,67.9996,69.8374,71.7773,73.8281,75.9995,78.3026,80.7495,83.3543,86.1328,89.1029,92.2852,95.7031,99.384,103.359,107.666,112.347,117.454,123.047,129.199,135.999,143.555,151.999,161.499,172.266,184.57,198.768,215.332,234.908,258.398,287.109,322.998,369.141,430.664
0.000000000,0.000400223,0.00223584,0.00418229,0.00376632,0.0112158,0.00959634,0.00334069,0.000739308,0.000141366,0.000291405,0.00115089,0.00109518,0.000396881,0.000389131,0.000655697,0.000409989,0.000218162,0.00128444,0.000601371,5.58018e-05,0.000177273,0.0005249,0.0016767,0.00214925,0.00121095,0.000895083,0.00029733,0.000463362,0.000357384,0.0029913,0.00148681,0.00135379,0.00016436,0.000891242,0.00265372,0.00271697,0.0014474,0.000786552,3.98721e-05,0.0017542,0.00169703,0.00246597,0.000247304,0.00138804,0.0021566,0.00104866,0.000247577,5.20613e-05,0.000843569,0.0053889,0.00241565,0.000690884,0.00140083,0.00172319,0.000720711,0.00148562,0.00351755,0.00192423,0.000552727,0.00101765,0.000971863,0.00175718,0.000366537,0.000416966,0.000218616,0.000841723,0.00163623,0.00028309,0.000253149,0.00021756,0.00032196,6.63005e-05,0.000260486,0.000104069,0.0004744,0.000196901,0.00027485,0.000709271,0.000782558,4.80082e-05,0.000140021
1.486077098,0.00045209,0.00255662,0.00484498,0.00381499,0.0113452,0.0111291,0.0078208,0.00255856,0.000166022,0.000364287,0.00167237,0.00138947,0.000513079,0.000413158,0.000690712,0.000568682,0.00104883,0.00171264,0.000647184,6.85578e-05,0.000367424,0.000691567,0.00187056,0.00220608,0.00128026,0.00126024,0.00170659,0.00170882,0.000392813,0.00304165,0.00171122,0.00171943,0.000176299,0.000896548,0.00269889,0.00280663,0.00166107,0.00106937,6.09074e-05,0.00175814,0.00177134,0.00257771,0.000612526,0.00273517,0.00386777,0.00126912,0.000264308,0.000148957,0.00101561,0.00541572,0.00243067,0.000730879,0.00147434,0.00199127,0.00109564,0.00151785,0.00396663,0.00310115,0.00061275,0.00102319,0.00101981,0.00202722,0.000858135,0.00109267,0.000935109,0.000876566,0.00168382,0.000579349,0.000325622,0.000218641,0.00032704,0.000130284,0.000387506,0.000209251,0.000621456,0.000333043,0.000623297,0.000737186,0.000814374,5.6036e-05,0.000178155
2.972154195,0.000466367,0.00272136,0.0051814,0.00395412,0.0113957,0.013825,0.0131309,0.00271559,0.000868487,0.000733365,0.00169468,0.00138947,0.000513079,0.000413158,0.000711723,0.000648004,0.00110353,0.00172487,0.00077122,0.000297156,0.000479001,0.000754126,0.00194351,0.00235419,0.00156001,0.0019648,0.00221284,0.00172583,0.00200567,0.00500666,0.00310171,0.00246158,0.000226389,0.000998895,0.00271396,0.00555931,0.00300984,0.00106937,0.000239593,0.00231848,0.002171,0.00257771,0.000612526,0.00277846,0.00443781,0.00247585,0.00181519,0.000513386,0.00506717,0.00967217,0.00384194,0.000994332,0.0015468,0.00223031,0.00119779,0.00223538,0.00488434,0.00314738,0.000612972,0.00102956,0.00113219,0.00276186,0.0013161,0.00114098,0.000970515,0.00409848,0.00610124,0.00235598,0.00166092,0.00185708,0.000916255,0.000130349,0.000949161,0.00143709,0.000797336,0.000333043,0.000623297,0.000737186,0.000814374,0.000524504,0.000497526
4.458231293,0.000674494,0.00273396,0.00681203,0.00395557,0.0113957,0.013833,0.013142,0.00273435,0.00100774,0.000775354,0.00239434,0.00139182,0.000526482,0.000413158,0.000717146,0.000973186,0.00116529,0.00173124,0.000771795,0.000297156,0.000479001,0.000837392,0.00201933,0.00235419,0.00158626,0.00197432,0.00221584,0.00174603,0.00200567,0.00500666,0.00319308,0.00269993,0.000255564,0.00101598,0.00272524,0.00555931,0.00300984,0.00106999,0.00242799,0.00274796,0.00217242,0.00258558,0.000619017,0.00282524,0.00505321,0.00300499,0.0027056,0.000662586,0.00509143,0.00970308,0.0040338,0.000998447,0.00178669,0.00244534,0.00132053,0.00240914,0.00488777,0.00316627,0.00062059,0.00102956,0.00113219,0.0029691,0.00137135,0.00123858,0.000974509,0.00409848,0.00610124,0.00235598,0.00166242,0.00197017,0.000940274,0.000135162,0.000957895,0.00144373,0.000797336,0.000338481,0.000632164,0.000742365,0.000828393,0.000611814,0.000576317
5.944308390,0.000776528,0.00284013,0.00686386,0.00395789,0.0113957,0.0180189,0.0144291,0.00276,0.00131203,0.000792349,0.00239515,0.00139182,0.000526482,0.0143295,0.00368704,0.000991956,0.00116529,0.00173124,0.000771795,0.000297156,0.000479001,0.0102779,0.00202587,0.00235419,0.00168569,0.00197606,0.00221584,0.00185844,0.00203826,0.00547819,0.00320129,0.00269993,0.000491179,0.00101598,0.00272524,0.0056663,0.00444059,0.00260217,0.00242799,0.00274796,0.00217242,0.00267635,0.000760606,0.00295312,0.00644186,0.00300499,0.00270827,0.000662586,0.00516093,0.00991677,0.00423345,0.0011094,0.00178669,0.00244534,0.00132053,0.00351042,0.00507106,0.00338309,0.000769212,0.00102956,0.00129496,0.00297199,0.00137354,0.00376852,0.00105762,0.00410741,0.00611497,0.00236641,0.00166242,0.00197094,0.000942141,0.000137619,0.00116452,0.00144373,0.00080097,0.000338481,0.000632164,0.000771421,0.00806064,0.000762029,0.0006076
7.430385488,0.00126653,0.00302689,0.007978,0.00583073,0.0118151,0.0185867,0.0144291,0.00276,0.00131203,0.000792981,0.00244616,0.00156757,0.000546243,0.0146134,0.00406331,0.00115162,0.00116529,0.00173539,0.000782491,0.000383562,0.000746864,0.0107163,0.00248164,0.00252284,0.00170382,0.00203751,0.00228394,0.00186168,0.00220255,0.00547819,0.00332821,0.00301974,0.000542479,0.00113249,0.0029391,0.0064344,0.00683891,0.0053007,0.00255649,0.00280884,0.00217242,0.00270326,0.0010706,0.00437555,0.00957934,0.00585644,0.0028422,0.000662586,0.00516093,0.00991677,0.00534958,0.00114222,0.00178669,0.00244534,0.00132053,0.00351042,0.00507106,0.00369732,0.00185196,0.00102956,0.00129496,0.00297307,0.00198949,0.0039471,0.00109139,0.00410741,0.00611497,0.00249565,0.00169989,0.00197094,0.00154672,0.000285334,0.00162245,0.0019986,0.000827392,0.0004615,0.000632164,0.000771421,0.0131826,0.00224707,0.0006076
8.916462585,0.00213853,0.00475678,0.0104117,0.00656996,0.0118151,0.0186162,0.0150481,0.00421443,0.00369825,0.000829791,0.00279171,0.00199517,0.00122957,0.0160629,0.0051577,0.00153,0.00120656,0.00173597,0.000795919,0.00139952,0.000750115,0.01073,0.0025581,0.00266076,0.00170425,0.00521083,0.00441477,0.0114781,0.00600596,0.00602556,0.00352466,0.00428211,0.00106295,0.00117955,0.00295187,0.00658107,0.00701002,0.0053007,0.00255789,0.00280884,0.0022105,0.00270492,0.00108611,0.00474008,0.0106947,0.00676006,0.00359291,0.00108723,0.00562503,0.0101609,0.00541602,0.00117618,0.00212934,0.00290436,0.00158178,0.00427388,0.00534794,0.00369757,0.00185486,0.00103061,0.0013457,0.00298112,0.00199894,0.0041494,0.00133922,0.00424833,0.00637566,0.00268013,0.00213621,0.00216929,0.00154672,0.000285334,0.00163442,0.00200381,0.000835307,0.000476274,0.000637191,0.000877792,0.0133036,0.00227779,0.000627644
10.402539683,0.00534631,0.0380214,0.0119987,0.00901853,0.0121996,0.247604,0.0154068,0.00578375,0.00397493,0.00167529,0.00343164,0.00199517,0.00122957,0.0162519,0.0051577,0.00153,0.00120656,0.00308196,0.000795919,0.00265096,0.00237584,0.01073,0.00275837,0.00269588,0.00739673,0.00626935,0.00705517,0.0138202,0.0465233,0.0132621,0.0223057,0.0207931,0.00319431,0.00432214,0.00343742,0.00716553,0.00776929,0.0053007,0.00255789,0.00385162,0.00356516,0.00270492,0.00108611,0.00474008,0.0106947,0.0146212,0.00394835,0.00108723,0.00562503,0.0112617,0.00794428,0.00117618,0.00212934,0.00303543,0.00158178,0.00427388,0.00913098,0.00863044,0.0152445,0.00337868,0.028255,0.0416106,0.00387388,0.0044782,0.00133922,0.0113137,0.00667401,0.00268013,0.00213621,0.00308665,0.00171328,0.000285334,0.00174072,0.00260939,0.000840282,0.000476274,0.000637191,0.000877792,0.0133122,0.00278599,0.000718538
11.888616780,0.00864375,0.0417658,0.0162517,0.011456,0.0121996,0.247604,0.0154068,0.00580418,0.00415373,0.00167529,0.00344319,0.00199517,0.00144535,0.0163575,0.00675231,0.00153,0.00120656,0.00308196,0.000795919,0.00265096,0.00237584,0.01073,0.00469945,0.00269588,0.00739673,0.00825623,0.0150673,0.0151145,0.0478815,0.0140765,0.0712041,0.0576247,0.00536649,0.00560174,0.00707712,0.00863515,0.00776929,0.0053007,0.00255789,0.00385162,0.00357567,0.00609447,0.00135719,0.00494854,0.0106947,0.0147322,0.00399659,0.00108723,0.00562503,0.0112617,0.00794428,0.00117618,0.00389476,0.0266729,0.00930195,0.00916928,0.0153744,0.0298393,0.0233517,0.00337868,0.0493867,0.0656236,0.012992,0.0561451,0.00192347,0.0114167,0.00694501,0.00291838,0.00213621,0.00308665,0.00171328,0.000285334,0.00186499,0.00275061,0.00259025,0.00129014,0.0010294,0.000877792,0.0133122,0.00278599,0.000718538
