TIME,27.7576,30.2811,32.8045,35.3279,37.8513,40.3748,42.8982,45.4216,47.945,50.4684,52.9919,55.5153,58.0387,60.5621,63.0856,65.609,68.1324,70.6558,73.1792,75.7027,78.2261,80.7495,83.2729,85.7964,88.3198,90.8432,93.3666,95.89,98.4135,100.937,103.46,105.984,108.507,111.031,113.554,116.077,118.601,121.124,123.648,126.171,128.695,131.218,133.741,136.265,138.788,141.312,143.835,146.358,148.882,151.405,153.929,156.452,158.976,161.499,164.022,166.546,169.069,171.593,174.116,176.64,179.163,181.686,184.21,186.733,189.257,191.78,194.304,196.827,199.35,201.874,204.397,206.921,209.444,211.967,214.491,217.014,219.538,222.061,224.585,227.108,229.631,232.155,234.678,237.202,239.725,242.249,244.772,247.295,249.819,252.342,254.866,257.389,259.912,262.436,264.959,267.483,270.006,272.53,275.053,277.576,280.1,282.623,285.147,287.67,290.194,292.717,295.24,297.764,300.287,302.811,305.334,307.858,310.381,312.904,315.428,317.951,320.475,322.998,325.521,328.045,330.568,333.092,335.615,338.139,340.662,343.185,345.709,348.232,350.756,353.279,355.803,358.326,360.849,363.373,365.896,368.42,370.943,373.466,375.99,378.513,381.037,383.56,386.084,388.607,391.13,393.654,396.177,398.701,401.224,403.748,406.271,408.794,411.318,413.841,416.365,418.888,421.411,423.935,426.458,428.982,431.505,434.029,436.552,439.075,441.599,444.122,446.646,449.169,451.693,454.216,456.739,459.263,461.786,464.31,466.833,469.357,471.88,474.403,476.927,479.45,481.974
0.000000000,6156.44,4333.96,3505.62,6180.78,4457.96,2310.93,4537.55,3371.05,845.757,3162.91,2786.39,1115.5,4783.58,3035.06,1248.96,9151.17,8692.91,1982.74,3293.66,4459.2,1351.76,2237.64,3649.38,1108.64,2232.98,4299.11,1726.77,1783.79,3762.74,1364.97,1439.53,3774.42,1212.92,1591.25,4667.84,2278.78,2473.3,14613.9,52869.1,76853.8,44188,10339.9,1865.91,2582.7,4588.65,1161.62,1610.2,3627.01,1011.64,1658.04,3704.78,1559.54,2104.84,4182.39,1696.52,1174.87,3484.02,1685.55,1261.77,3983.86,2193.55,1440.15,4680.69,1611.41,1954.38,9065.19,6066.31,1286.22,3841.41,3270.28,938.566,4050.86,4605.7,2366.37,5060.77,5980.69,3062.31,5058.63,6692.39,4787.86,8142.02,11450.7,8906.18,15357.5,23770.3,34047.4,57106.1,267982,875950,1.17957e+06,666548,157132,43402.2,26342.6,19171.7,11855.9,7816.92,9205.05,5699.79,3673.56,4785.8,3393.96,3401.89,5172.88,3298.03,1966.84,3741.51,2434.24,717.884,2451.43,1618.5,899.616,2441.8,370.927,6093.61,14954.1,8976.93,1875.78,3492.72,3734.9,1136.8,2277.71,2962.88,860.87,2251.62,3346.03,1023.98,1789.76,3094.24,909.608,1606.36,3071.53,681.191,1796.76,3864.85,1726.11,3031.37,16694,49091.4,59416.8,28930.1,6276.93,1362.01,2556.69,3735.53,731.018,1659.21,2776.72,565.409,1649.99,3010.61,1195.93,1925.5,3147.77,982.292,1034.2,2633.19,974.672,930.659,2686.17,1012.94,627.549,879.009,592.536,9097.35,13395.9,5108.47,1485.49,4094.85,2647.7,985.368,4047.69,3785.38,2089.84,4702.64,4581.81,2389.39,5160.75,5956.76,4148.76,7478.22
1.486077098,6633.38,3899.75,2665.78,6911.48,4596.24,1405.66,5216.58,4045.46,240.084,3896.48,3297.63,401.767,6440.64,4598.91,1005.2,13658.7,10906.3,1069.38,3499.21,5602.07,875.757,2401.26,4710.56,686.898,2401.72,5536.58,1472.54,1600,4961.26,1315.69,1406.36,5161.45,1226.42,1635.66,6424.72,1627.75,2472.92,12534.4,67604.4,113702,53290.7,8505.93,1658.97,2372.3,6298.99,1001.36,1812.98,5008.79,802.878,1882.4,4817.9,1178.06,2019.19,5409.13,1728.28,938.452,4650.24,1717.81,1024.11,5167.79,2411.46,914.309,6779.83,2550.18,2738.43,13509.1,7095.41,483.128,4551.72,3983.71,259.83,5001.58,5118.74,1394.29,5443.68,6664.81,2008.23,4981.68,7214.35,3290.74,8182.45,11607.7,7072.61,13713,24548.8,27314.9,53209.7,252459,1.21303e+06,1.79538e+06,852320,129004,43899.2,20231.3,20175.3,10092.8,6440.63,9567.1,5329.73,2753.68,5065.6,2854.76,2867.31,5728.05,3256.67,1273.48,4403.84,2795.68,277.042,3027.08,1905.57,482.672,3793.2,200.359,8901.06,21737.5,10193.9,986.346,3702.32,4579.41,575.158,2562.78,3693.84,399.272,2545.04,4297.5,667.691,1900.99,4085.56,652.681,1773.3,4150.65,532.432,2071.93,5207.07,904.615,3072.1,15443.2,65143.5,86061.2,32047.1,5388.62,911.8,2773.13,5020.35,468.485,1977.86,3853.6,296.806,2048.91,3828.59,792.1,1960.51,4102.2,925.516,1016.5,3627.56,946.034,909.624,3665.92,1245.21,560.548,1944.29,1335.99,14900.9,18832.4,5105.65,861.384,4901.75,3116.56,425.899,5065.57,4023.28,1257.57,5271.69,4973.77,1397.3,5505.94,6307.04,2790.73,7707.61
2.972154195,6501.56,3086.89,1682.04,6841.8,4366.17,520.65,5426.14,4603.8,19.097,4631.49,3523.37,97.2094,7657.6,7528.44,2758.86,18896.3,11847.3,510.582,3416.95,6530.53,645.715,2592.01,5521.57,544.74,2645.92,6356.96,1356.59,1502.96,5941.35,1526,1624.21,6396.09,1652.4,2157.23,7458.67,1654.94,2809.54,8110.04,76763.4,155648,56136.5,5745.09,1707.21,2736.23,7305.63,1395.05,2382.18,6214.41,971.733,2311.4,5696.01,893.161,1943.41,6236.78,1946.8,982.781,5551.54,1925.09,1026.28,6190.7,2526.39,689.396,8614.65,5090.91,5516,18111.5,7351.43,40.6477,4949.7,4706.71,47.0481,5685.5,5210.44,463.082,5348.19,6659.68,936.109,4493.54,6992.99,1640.85,7081.18,10981,3941.89,11194.6,21704.3,16758.9,47659.3,189100,1.49163e+06,2.46931e+06,953716,84014,37697.3,13889,16824.4,8258.72,3931.24,9055.45,4395.17,1566.67,4915.34,1979.61,2081.22,5582.51,2974.05,578.9,4632.34,3154.16,82.5496,3561.12,2056.65,320.442,5281.3,1648.76,13874.6,28006.5,9994.61,347.001,3616.44,5185.31,237.939,2745.43,4249.71,165.265,2796.45,4965.54,532.559,2056.36,4893.92,655.489,2020.82,5154.27,768.406,2606.54,6042.51,584.007,3470.88,10804,77456.2,115290,29886.2,4487.83,676.198,3234.72,5824.65,673.451,2551.29,4800.97,413.913,2568.58,4415.49,465.503,1911.54,4798.25,1095.91,1220.49,4415.38,1154.71,1104.72,4530.25,1580.96,714.508,3624.56,4093.75,22903.5,22908,4612.98,320.301,5509.98,3593.12,280.682,5738.79,3952.31,473.797,5347.12,4946.86,455.665,5420.97,5937.48,1366.6,6841.55
4.458231293,5560.12,2379.98,981.93,5884.45,3978.35,86.8197,5015.14,5047.83,491.693,4952.08,3750.55,351.348,7835.75,11641.2,8076.95,23918.5,10894.8,568.803,3514.83,6653.5,999.891,2965.11,5705.73,937.252,3066.84,6373.06,1601.57,1751.83,6194.23,2225.54,2359.69,6798.17,2623.58,3321.29,7549.48,2153.51,3592.04,3653.88,80721.9,198900,54460.2,3674.39,2345.46,3094.52,7661.44,2488.07,3268.35,6722.31,1770.22,3073.97,5896.13,998.245,2069.07,6273.06,2482.89,1486.68,5834.67,2405.98,1508.46,6546.03,2836.62,992.682,9226.89,9469.69,11449.8,21498.7,6732.71,156.356,5227.95,5068.1,589.223,6114.52,4750,10.7607,4962.6,5864.37,327.327,3971.18,5918.79,459.905,5962.54,8535.25,1705.48,8785.77,14779.2,9261.41,36706.5,108424,1.66062e+06,3.11592e+06,954347,43950.7,24683,8768.92,12000.7,5658.2,2097.42,7300.47,3444.91,746.699,4179.54,1205.04,1375.32,4701.84,2640.78,218.059,4323.15,3482.57,389.999,3797.49,2218,560.444,6248.45,5409.43,21883.6,31997.2,8415.68,177.798,3573.29,5163.76,414.531,2963.56,4348.8,400.65,3050.22,5060.12,831.568,2382.66,5113.39,1148.44,2562.77,5448.78,1607.93,3582.84,5922.42,980.405,4191.97,4968.42,85215.1,144427,24742.2,4241.68,1090.13,3325.61,6304.1,1491.29,3193.14,5328.92,1115.26,3203.43,4502.27,448.152,1918.11,4920.8,1623.16,1719.11,4733.22,1634.95,1591.18,5025.98,2045.83,1164.96,5315.85,9403.99,33069.9,23946.3,3935.3,233.384,5762.08,3958.84,774.244,6013.91,3552.77,83.7652,5037.31,4463.87,6.02343,5070.37,4920.07,296.783,5865.32
5.944308390,4028.13,2098.53,848.393,4144.83,3722.82,311.274,3918.42,5357.61,1779.43,4495.01,3965.37,1308.04,6584.53,15759.4,18311.6,27807.1,7899.41,1552.12,3831.82,5599.02,2206.07,3540.98,4832.98,2043.83,3749.83,5175.89,2416.16,2482.99,5252.06,3454.87,3656.18,5968.53,3894.29,5041.33,6708.42,2630.28,5044.76,1274.27,83897,236523,53962,3167.97,3806.05,3174.23,7125.81,4313.28,4226.77,6064.62,3308.28,4120.8,4985.76,1703.2,2588.7,5077.2,3484.87,2571.44,4931.97,3296.91,2693.52,5555.07,3584.78,1999.1,7756.43,15021.1,21560.5,22460.7,5297.1,1191.26,5048.44,4874.29,2076.8,6080.8,3794.24,275.061,4507.1,4354.13,469.781,3634.42,4288.08,139.533,4832.55,5798.92,514.48,6126.38,8811.69,4394.89,22776.3,42812.8,1.71606e+06,3.64548e+06,885897,19343.6,12044.3,3736.92,8003.66,3509.14,822.587,5067.45,2869.02,490.821,2977.58,873.227,1019.52,3189.54,2536.17,357.868,3337.68,3907.08,1258.29,3336.59,2567.72,1229.7,5977.06,10869,33477.4,32942.7,5789.24,856.292,3383.91,4484.86,1345.28,3107.9,3787.34,1280,3303.35,4281.09,1744.7,2899.41,4382.61,2230.64,3368.97,4754.29,2884.56,4821.91,5013.35,1660.26,5311.7,792.371,90510.6,168947,21675.8,4637.18,2266.85,3056.46,6092.22,3021.36,3708.3,5019.85,2531.81,3829.26,3817.69,941.888,2108.8,4108.49,2661.93,2530.69,4076.6,2548.63,2462.79,4468.34,2908.16,1915.88,5915.75,16599.2,45262.4,21616.7,3256.45,1120.32,5147.97,4155.52,2127.97,5603.71,2942.64,332.671,4448.2,3551.26,319.755,4572.82,3538.01,20.2223,4709.27
7.430385488,2413.87,2145.54,1245.19,2207.97,3602.07,1099.27,2469.21,5371.67,3469.15,3589.93,3687.86,2876.26,4469.82,18345.9,33545.3,30344.4,3995.02,3610.34,3724.3,4077.16,3920.04,3972.91,3273.98,3570.94,4520.19,3171.17,3664.38,3417.75,3497.97,4850.67,5149.54,4203.32,5030.01,7054.92,4929.16,3014.37,6703.68,2008.36,89691,263751,58456.7,4218.21,5671.11,3085.46,5594.05,6658.16,4790.42,4533.12,5205.77,5090.08,3299.54,2838.77,3351.14,3087.97,4760.97,3817.49,3334.53,4155.4,4177.36,3887.09,4146.36,3753.94,4661.24,20715.2,35755.8,20876.5,3605.3,3069.57,4192.45,4194.88,4074.85,5635.98,2498.05,1226.99,4026.41,2576.87,1304.79,3399.93,2561.33,631.053,4164.13,2927.8,571.473,4785.28,4355.3,1004.99,11847.7,9082.9,1.69448e+06,3.99889e+06,803242,8235.1,5077.77,711.534,3852.4,2787.09,535.607,2877.03,2661.26,691.125,1740.17,971.311,1012.36,1588.81,2662,854.311,2083.89,4188.98,2370.29,2520.46,2698.3,2210.83,4599.57,16301.3,48007,31836.9,3010.29,2597.82,2718.73,3537.32,2848.4,3045.95,2701.52,2675.04,3461.16,2856.3,3179.48,3351.43,2995.37,3657.05,4179.03,3267.2,4286.09,6045.5,3485.39,2367.15,6363.15,327.76,95398.6,186138,23713.8,5191.95,3901.81,2570.73,5133.32,5103.89,3717.61,4060.26,4351.51,4212.87,2562.24,1922.95,2360.15,2686.51,4060.96,3255.94,2850.73,3525.68,3420.95,3169.19,3810.1,2958.09,4895.11,24453,58474.1,17577.9,2739.4,2823.28,3891.4,3941.95,3967.24,4756.82,2107.64,1231.53,3688.23,2394.13,1344.39,3970.62,2086.33,526.352,3916.46
8.916462585,1069.42,2331.33,1906.92,722.615,3497.43,2011.51,1183.11,5042.46,5022.02,2330.83,3117.61,4287.16,2467.57,18671.7,52169.8,32507.5,1060.62,6132.13,3119.07,2499.86,5579.79,4154.99,1653.68,4953.46,5127,1220.71,5050.45,4225.81,1669.21,5992.7,6213.89,2319.73,5474.1,8778.09,3009.05,3171.84,7896.98,4887.01,98720.6,278034,67764.2,5883.54,7335.9,2675.48,3960.59,8747.09,4655.72,2797.41,6732.52,5721.59,1512.1,4054.24,4148.9,1204.1,5932.02,4768.49,1632.94,4791.36,5362.49,2222.84,4045.09,5894.23,1527.41,26052.5,52549.9,18018.8,2294.24,4824.34,3193.59,2988.52,6033.11,4801.72,1314.6,2384.44,3538.29,1057.72,2437.43,3199.19,1136.58,1531.26,3479.08,1238.4,1016.79,4536.82,1145.24,30.0568,6107.87,2567.39,1.64963e+06,4.16383e+06,750157,3587.85,2993.75,139.194,1452.92,2566.66,496.811,1395.39,2673.9,1114.55,736.108,1308.36,1217.92,482.532,2858.19,1383.7,992.551,4261.89,3296.08,1551.55,2514.24,3050.64,2845.58,19843.8,63713.6,30965.1,1273.36,4771.5,1884.06,2439.46,4508.5,2764.56,1571.12,4075.86,3471.87,1363.08,4820.12,3564.72,1557.98,4984.18,4605.47,1698.25,5191.11,6998.78,1825.42,2978.03,6805.88,3123.5,100923,194959,30089.1,5384.87,5598.09,1780.18,4127.71,7000.38,3203.47,2835.47,5920.31,4296.24,1207.22,3141.13,2581.17,1334.92,5443.7,3634.78,1503.03,4323.02,3996.24,1805.56,4160.82,4242.54,2739,31783.8,71195.8,14361.5,2471.48,4454.13,2635.86,3197.77,5825.28,3624.94,1295.15,2348.68,2933.04,1256.29,2650.92,3364.27,918.291,1467.96,3043.86
10.402539683,293.799,2427.78,2503.61,57.9837,3351.26,2599.05,345.883,4417.03,5898.48,1148.53,2645.04,4590.81,1259.41,17250.9,71470.5,36149.1,571.681,7721.92,2500.77,1233,6738.13,3966.72,564.197,5620.2,5445.96,117.261,6320.38,4715.82,514.496,6345.3,6578.2,864.072,5433.9,9315.33,1856.68,2874.78,8371.84,7937.67,107528,279774,77174.5,7170.82,8414.04,1960.67,2914.47,9643.65,4187.45,1434.16,7349.8,5732.73,333.585,5021.3,4915.72,225.736,6647.14,5056.13,462.961,4926.07,6019.67,879.711,3530.57,7379.35,111.132,31527.2,69669.2,15690.4,1626.41,5497.13,2409.71,1843.56,7128.88,3903.52,462.672,3186.29,3089.8,197.55,3347.19,2940.83,322.392,2147.07,2924.63,368.141,1495.9,3925.76,607.309,531.731,3367.47,7718.48,1.61869e+06,4.17407e+06,733337,1185.7,3159.87,121.735,1006.77,2396.76,603.027,687.875,2464.95,1426.47,169.317,1632.81,1491.46,134.765,2981.49,1676.87,344.355,3978.5,3794.5,646.455,2289.6,3093.86,1485.47,20476.4,78435.8,32683.3,1350.07,6131.87,1316.78,1571.43,5786.15,2353.49,795.757,4886.47,3405.48,416.187,6290.95,3554.05,676.288,5586.88,4652.79,487.118,5567.46,7082.61,831.347,3167.68,6594.42,6876.57,105788,196187,36580.5,5166.34,6925.29,964.74,3379.99,7987.68,2528.23,1847.3,6596.07,4064.96,269.908,4270.64,2848.81,694.495,6335.34,3561.7,524.908,4662.55,4118.68,708.133,3859.94,5314.15,726.315,37973.4,82135.1,13574.6,2347.69,5343.07,1662.72,2424.4,6840.78,2686.22,636.219,3143.79,2310.8,456.116,3653.12,2833.55,259.092,2141.24,2453.82
11.888616780,36.2399,2370.55,2885.1,116.701,3179.03,2594.15,19.6262,3881.72,5563.5,570.941,2286.88,3810.65,788.962,15621.3,88508.1,42908.3,2570.35,7454.06,2184.24,785.052,6741.37,3748.4,179.372,5457.61,5327.42,165.395,7381.36,5024.31,268.773,5735.38,6250.08,238.939,4941.92,8783.1,1387.5,2455.24,8036.06,9562.08,110809,270669,80814.3,7613.93,8480.97,1498.58,2390.93,9275.62,3601.79,774.038,7021.21,5029.96,52.1545,5692.91,5749.43,418.969,6570.21,4795.38,10.0129,4698.71,5804.83,263.779,3050.63,7268.57,1075.98,38430.1,84812.3,15075.9,1364.37,5117.93,1883.94,1243.8,6844.55,3282.73,97.9758,3225.28,2790.83,31.4175,3721.16,2675.03,39.0195,2169.48,2378.08,206.421,1496.87,3462.12,912.142,872.173,1872.72,12581.7,1.59827e+06,4.09544e+06,723344,761.61,3574.28,95.254,926.823,2344.05,444.774,426.128,2195.96,1348.34,7.51667,1808.11,1823,376.41,2927.49,1654.7,119.139,3602.39,3518.89,175.581,2097.59,2290.87,780.523,18791.3,90285.1,37854.9,3028.05,6029.79,1150.52,1347.13,6008.16,2165.29,547.748,4833.57,3274.26,322.612,7341.61,3574.5,504.5,5247.95,4364.19,15.5781,5291.05,6520.91,490.011,2936.44,5963.9,9220.86,107118,190924,38830,4906.06,7281.04,643.995,2933.43,7824.08,2015.52,1306.86,6311.32,3495.39,19.5843,5144.44,3364.22,957.385,6333.07,3273.95,125.761,4451.98,3803.64,103.142,3289.3,5506.92,2.00244,43236.5,90564.1,14856.9,2214.99,5418.48,1120.39,1910.56,6679.52,2136.19,308.943,3217.23,1942.67,146.018,3956.17,2503.76,35.9265,2275.54,1930.88
