TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
1.950476190,0.446206,0.149934,0.0551908,0.83916,0.693535,0.679753,0,0.419256,1.16203,0.567959,0.697384,1.75652
1.996916100,0.467165,0.133222,0.0383014,0.898298,0.687807,0.696632,0,0.632606,0.958694,0.505462,0.668047,1.65386
2.043356009,0.515397,0.10124,0.498099,0.72614,0.455072,0.628647,0.0048913,0.356675,0.3854,0.801339,0.39608,1.65306
2.089795918,0.891636,0,0.9055,0.374714,0.03442,0.386904,0.608266,0.0248751,1.26699,1.30788,0.792517,0.872653
2.136235828,0.993206,0.157407,1.093,0.245792,0.183587,0.00513257,0.628437,0.023023,1.45358,1.26665,1.30389,0.478819
2.182675737,0.728478,0,1.40049,0.251919,0.193797,0.00714592,0.58554,0.0154495,1.41688,1.24252,1.03874,0.487285
2.229115646,0.39342,0.019032,0.900274,0.317955,0.266399,0.0169697,0.183403,0.611555,0.995882,0.855052,1.03672,1.39264
2.275555556,0.0802957,0,0.903325,0.527598,0.0534121,0.691592,0.470843,0.755196,0.904538,0.200664,1.60815,1.20194
2.321995465,0.063554,0.000418724,0.89612,0.525855,0.218783,0.663325,0.822877,0.742513,0.935141,0.263292,1.71437,1.14132
2.368435374,0.115143,0,0.753339,0.559213,0.245634,0.627685,0.819182,0.695003,0.860175,0.358801,1.73455,1.22116
2.414875283,0.239533,0.0273518,0.784146,0.472007,0.334967,0.615487,0.731623,0.477131,0.803777,0.298733,1.78185,1.33457
2.461315193,0.217227,0.00934843,0.770453,0.367844,0.320756,0.523575,0.650213,0.436049,0.770961,0.211485,1.94357,1.28922
2.507755102,0.179973,0,1.00248,0.190708,0.19384,0.277788,0.650045,0.401818,0.65816,0.0475759,2.09451,1.12057
2.554195011,0.177205,0,1.38349,0.437769,0.458175,0.435503,0.0377804,0.00212951,0.0449267,0,1.77098,0.688733
2.600634921,0.1182,0.212215,1.37491,0.24679,0.285628,0.154349,0.298982,0.005332,0.0309411,0.823305,1.46407,0.616122
2.647074830,0.859062,0.174429,1.18048,0.533072,0.247142,0.435243,0.405664,0.000832774,0.0414618,0.590817,1.37601,0.524127
2.693514739,1.24506,0.180255,1.07774,0.64676,0.223591,0.271775,0.418971,0,0.10465,0.630775,1.02877,0.378228
2.739954649,1.26205,0.194275,1.07231,0.650827,0.122628,0.665623,0.651239,0.0321686,0.596872,0.489538,0.670592,0.442341
2.786394558,0.569315,0.246626,0.346242,0.887549,0.611361,0.410366,0.404615,0.0471673,1.19241,0.360085,0.873691,0.560864
2.832834467,0.634164,0.401827,0.00512608,1.01832,0.801292,0.323231,0.277137,0.396592,1.13599,0.540128,0.836502,0.8715
2.879274376,0.865333,0.60743,0.00176323,0.987458,0.860284,0.263474,0.0683941,0.304759,0.982128,0.480746,0.72968,1.06339
2.925714286,1.17179,0.742875,0,0.881639,0.830127,0.150147,0.109604,0.0925258,0.96323,0.474701,0.732964,1.16666
2.972154195,1.35255,0.738713,0.44144,0.95585,0.25605,0.205508,0.196381,0,1.21083,0.168003,0.586256,1.45283
3.018594104,1.36412,0.967386,0.332534,1.13867,0.381879,0.00653218,0.0953501,0,1.12941,0,1.26163,1.09719
3.065034014,0.841544,0.941999,0.248189,1.02528,0.807039,0,0.136799,0.315953,1.16078,0.0252751,1.42074,0.766697
3.111473923,0.757952,0.937121,0.213251,1.24969,0.742347,0.262091,0.0232862,0.550758,1.06977,0.0296997,0.684617,1.07776
3.157913832,1.22513,0.911973,0.50175,1.2223,0,0.355934,0.0144129,0.588942,1.1958,0.0794044,0.661234,0.943684
3.204353741,0.507372,0.540196,0.242892,0,0.0258722,0.57207,0.312584,0.809042,1.184,0.690534,1.148,0.442265
3.250793651,0.0706147,0.243881,0.335454,0.0411148,0.583609,0.710672,0.57359,0.80288,0.978979,1.00775,1.17038,0.816697
3.297233560,0.110716,0.233467,0.433778,0.138499,0.847966,0.97572,0.479543,0.644035,0.901798,1.12095,1.0192,0.833377
3.343673469,0.230044,0.25753,0.58758,0.145451,1.11725,1.03024,0.277205,0.426386,0.894284,1.12817,1.11588,0.831501
3.390113379,0.21231,0.0305543,0.62225,0.0607467,1.28819,0.962963,0.21242,0.338626,1.04029,1.02671,1.22749,0.682812
3.436553288,0.337002,0.645768,1.15363,0,1.25725,0.501131,0.0789263,0.506622,1.1826,0.827611,1.0974,0.53273
3.482993197,0.118244,1.21254,0.712486,0,0.600856,0.227552,0.456769,0.343236,0.691783,0.0378151,2.27779,0.66152
3.529433107,0.114198,0.61545,0.598463,0.234501,0.655165,0.674954,0.171009,0.0813179,0.213302,0.0472859,2.03298,1.2932
3.575873016,0.346763,0.718457,0.516201,0.241148,0.773483,0.634589,0.132871,0.249798,0.203527,0.0769029,1.81643,1.21553
3.622312925,0.678635,0.799238,0.502732,0.526857,1.11385,0,0.132343,0.759604,0.220958,0.0988602,1.2403,1.11169
3.668752834,0.781843,0.691456,0.354377,0.717559,1.0085,0.114924,0,0.767827,0.428126,0.0931973,0.957764,1.13045
3.715192744,0.44767,0.101486,0.053813,1.07999,0.915759,0.295199,0.0232719,0.936412,0.574258,0.215515,0.90668,1.4877
3.761632653,0.456333,0.112648,0.0544523,1.12913,0.745319,0.430827,0.0437718,1.05934,0.723047,0.256485,0.967158,1.67201
3.808072562,0.570166,0.134999,0.0257149,1.12564,0.718057,0.467116,0,0.85675,0.736093,0.267276,0.700073,1.69964
3.854512472,0.57977,0.138554,0.278007,1.08438,0.683678,0.367683,0,0.55762,0.76818,0.243702,0.73046,1.52171
3.900952381,0.825764,0.252052,0.749222,1.12123,0.373517,0.856203,0.00304591,0.201952,0.622252,0.557542,0.613918,0.639581
3.947392290,1.09404,0.134902,2.16891,0.207729,0.156672,1.72403,0.322926,0,0.53464,0.294798,0.161662,0.581286
3.993832200,0.695113,0.317054,1.67148,0.242691,0.0548756,1.78545,0.375005,0,0.523605,0.405937,0.376548,0.62504
4.040272109,0.693522,0.539567,1.25994,0.341797,0.0319407,1.12664,0.393525,0,0.227394,0.467115,0.771696,0.603197
4.086712018,0.485826,0.262855,1.19686,0.0716079,0.0288336,0.773851,0,0.309118,0.772553,0.407492,1.27999,0.73506
4.133151927,0.480599,0,1.20022,0.344347,0.0288589,0.626718,0.448699,0.694002,0.855102,0.148055,1.38722,0.822433
4.179591837,0.0491375,0,0.79485,0.333506,0.258378,0.581753,0.843993,0.881045,0.825337,0.423831,1.60957,0.996985
4.226031746,0.116002,0,0.654334,0.432271,0.332286,0.54798,0.839876,0.822999,0.781449,0.598288,1.71907,1.20536
4.272471655,0.242091,0.000796179,0.68843,0.393084,0.338878,0.697333,0.735141,0.52295,0.744738,0.555824,1.69506,1.30344
4.318911565,0.224636,0.000407996,0.616121,0.260926,0.317719,0.791798,0.649158,0.385374,0.730859,0.468951,1.82984,1.2998
4.365351474,0.192508,0.00317955,0.468094,0.0889884,0.184765,0.818804,0.687258,0.223711,0.614442,0.293555,1.96215,1.27084
