Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6pcZdKvd48Z3cAPtp0ZioL,"Mythical Power","Midtown Playground EP","Chris Stussy",2023-10-06,424241,19,false,joppe134,2026-03-18T16:31:40Z,"house,techhouse","Fuse London",0.792,0.872,7,-10.091,1,0.0491,0.124,0.871,0.0997,0.842,132.012,4
spotify:track:5Kq0Jib7ExaLawQnkW5ygj,"Sense of Future","Sense of Future","Across Boundaries;Chris Stussy;Locklead",2023-08-11,375007,37,false,joppe134,2026-03-18T16:31:55Z,"house,techhouse","Up the Stuss",0.747,0.837,0,-9.607,1,0.0558,0.0313,0.879,0.0776,0.691,128.996,4
spotify:track:77Fnug7EQGN4Rxlf9Bpcg7,"Strummer","Sense of Future","Across Boundaries;Chris Stussy;Locklead",2023-08-11,416011,32,false,joppe134,2026-03-18T16:31:55Z,"house,techhouse","Up the Stuss",0.799,0.824,7,-8.289,1,0.0388,0.00029,0.901,0.0906,0.887,130.002,4
spotify:track:6IHIZ6w1NomV3ZFI0POnWL,"Nightcreeper","Sense of Future","Across Boundaries;Chris Stussy;Locklead",2023-08-11,424665,24,false,joppe134,2026-03-18T16:31:55Z,"house,techhouse","Up the Stuss",0.709,0.843,11,-8.381,0,0.0375,0.00199,0.816,0.162,0.686,130.003,4
spotify:track:235yBqWPHUfSOEfN6Q0eUt,"Cold December","Sense of Future","Across Boundaries;Chris Stussy;Locklead",2023-08-11,392743,22,false,joppe134,2026-03-18T16:31:55Z,"house,techhouse","Up the Stuss",0.79,0.863,6,-9.374,0,0.0665,0.016,0.938,0.0947,0.302,127.999,4
spotify:track:6gme9crlKJYVK3JuYm1MR9,"Daydreamer","Sense of Future","Across Boundaries;Chris Stussy;Locklead",2023-08-11,410564,32,false,joppe134,2026-03-18T16:31:55Z,"house,techhouse","Up the Stuss",0.793,0.826,4,-9.872,0,0.0571,0.000582,0.916,0.348,0.485,128,4
spotify:track:6t1VuUS9kLIJyRpQMULvH8,"Extract","Sense of Future","Across Boundaries;Chris Stussy;Locklead",2023-08-11,453709,26,false,joppe134,2026-03-18T16:31:55Z,"house,techhouse","Up the Stuss",0.734,0.885,2,-7.449,0,0.0494,0.0101,0.915,0.138,0.815,129.993,4
spotify:track:7b4twDZXjQf8gyQGSvySZd,"All Night Long","All Night Long","Chris Stussy",2023-05-26,234525,65,false,joppe134,2026-03-18T16:32:01Z,"house,techhouse","Up The Stuss",0.768,0.703,5,-9.928,0,0.0466,0.00731,0.278,0.0977,0.788,133.01,4
spotify:track:6PjIopnneFj8lVQ61FiNxM,"Rose Bay","All Night Long","Chris Stussy",2023-05-26,447115,35,false,joppe134,2026-03-18T16:32:04Z,"house,techhouse","Up The Stuss",0.797,0.681,1,-8.784,0,0.0491,0.000271,0.897,0.107,0.875,131.003,4
spotify:track:7awezSMr8HOb7PHZoCG01D,"The Funktion","Sakura","Across Boundaries;Chris Stussy;Locklead",2025-09-05,369782,35,false,joppe134,2026-03-18T16:37:10Z,"house,techhouse","Up the Stuss",0.759,0.854,5,-9.774,1,0.0424,0.000362,0.755,0.0935,0.617,135,4
spotify:track:7KilmUVGy2INos79HzyWkL,"Rendevouz","Sakura","Across Boundaries;Chris Stussy;Locklead",2025-09-05,358154,42,false,joppe134,2026-03-18T16:37:10Z,"house,techhouse","Up the Stuss",0.794,0.861,2,-8.809,1,0.0472,0.000468,0.542,0.0897,0.447,129.99,4
spotify:track:1Rr6aU0R0Se3fvJN4XXfUc,"Mindtrippin'","Sakura","Across Boundaries;Chris Stussy;Locklead",2025-09-05,367164,37,false,joppe134,2026-03-18T16:37:10Z,"house,techhouse","Up the Stuss",0.691,0.818,2,-9.701,1,0.0485,0.00156,0.856,0.0762,0.434,133.975,4
spotify:track:3loS1DRt8t0sUbLACSjrBf,"E-Motion","Sakura","Across Boundaries;Chris Stussy;Locklead",2025-09-05,425864,33,false,joppe134,2026-03-18T16:37:10Z,"house,techhouse","Up the Stuss",0.729,0.882,1,-8.217,1,0.0518,0.000658,0.467,0.062,0.885,133.031,4
spotify:track:46CTMizfBBExPQ3xEg2msf,"Liquid Rocks","Sakura","Across Boundaries;Chris Stussy;Locklead",2025-09-05,348482,44,false,joppe134,2026-03-18T16:37:10Z,"house,techhouse","Up the Stuss",0.67,0.898,11,-7.876,0,0.0324,0.000795,0.816,0.513,0.303,133.003,4
spotify:track:5tgrRhg8OFYlsDYmEBuJug,"A Love Letter...","Sakura","Across Boundaries;Chris Stussy;Locklead",2025-09-05,314677,31,false,joppe134,2026-03-18T16:37:10Z,"house,techhouse","Up the Stuss",0.766,0.658,4,-9.352,0,0.0422,0.0142,0.191,0.0836,0.448,135.006,4
spotify:track:7uMbrkuHJJjDLVucvnVjKg,"Da Resurrection","Sakura","Across Boundaries;Chris Stussy;Locklead",2025-09-05,369417,51,false,joppe134,2026-03-18T16:37:10Z,"house,techhouse","Up the Stuss",0.651,0.839,4,-8.496,0,0.0438,0.00418,0.551,0.297,0.583,130.989,4
spotify:track:1wFW0fKAf4gEwdESW1cdqy,"Believe In Yourself","Believe In Yourself","Chris Stussy",2026-03-27,260010,32,false,joppe134,2026-03-27T12:47:26Z,"house,techhouse","Up the Stuss",0.706,0.772,2,-7.465,1,0.0341,0.00509,0.883,0.11,0.48,126.022,4
